enrichment_ratio	Category
4.4573170731707314	DHS w/out footprints
4.377245508982036	DHS w/out footprints
4.325443786982248	DHS w/out footprints
4.685897435897436	DHS w/out footprints
4.59748427672956	DHS w/out footprints
5.006849315068493	DHS w/out footprints
4.540372670807454	DHS w/out footprints
4.56875	DHS w/out footprints
4.325443786982248	DHS w/out footprints
4.56875	DHS w/out footprints
4.540372670807454	DHS w/out footprints
4.4573170731707314	DHS w/out footprints
4.685897435897436	DHS w/out footprints
4.377245508982036	DHS w/out footprints
4.083798882681564	DHS w/out footprints
4.777777777777778	DHS w/out footprints
4.25	DHS w/out footprints
4.716129032258064	DHS w/out footprints
4.484662576687117	DHS w/out footprints
4.3	DHS w/out footprints
3.768041237113402	DHS w/out footprints
4.3	DHS w/out footprints
4.403614457831325	DHS w/out footprints
4.841059602649007	DHS w/out footprints
4.351190476190476	DHS w/out footprints
4.540372670807454	DHS w/out footprints
4.25	DHS w/out footprints
4.59748427672956	DHS w/out footprints
4.403614457831325	DHS w/out footprints
4.746753246753247	DHS w/out footprints
4.377245508982036	DHS w/out footprints
5.076388888888889	DHS w/out footprints
4.4573170731707314	DHS w/out footprints
4.4573170731707314	DHS w/out footprints
4.484662576687117	DHS w/out footprints
4.325443786982248	DHS w/out footprints
4.403614457831325	DHS w/out footprints
4.106741573033708	DHS w/out footprints
4.6265822784810124	DHS w/out footprints
4.430303030303031	DHS w/out footprints
4.9727891156462585	DHS w/out footprints
4.59748427672956	DHS w/out footprints
4.59748427672956	DHS w/out footprints
4.685897435897436	DHS w/out footprints
4.56875	DHS w/out footprints
4.4573170731707314	DHS w/out footprints
3.8272251308900525	DHS w/out footprints
3.6733668341708543	DHS w/out footprints
4.016483516483516	DHS w/out footprints
4.56875	DHS w/out footprints
4.540372670807454	DHS w/out footprints
5.041379310344827	DHS w/out footprints
4.809210526315789	DHS w/out footprints
4.351190476190476	DHS w/out footprints
3.768041237113402	DHS w/out footprints
5.297101449275362	DHS w/out footprints
4.177142857142857	DHS w/out footprints
5.375	DHS w/out footprints
4.746753246753247	DHS w/out footprints
4.3	DHS w/out footprints
4.2011494252873565	DHS w/out footprints
4.377245508982036	DHS w/out footprints
5.258992805755396	DHS w/out footprints
4.325443786982248	DHS w/out footprints
4.377245508982036	DHS w/out footprints
4.484662576687117	DHS w/out footprints
4.153409090909091	DHS w/out footprints
4.56875	DHS w/out footprints
5.006849315068493	DHS w/out footprints
4.129943502824859	DHS w/out footprints
4.56875	DHS w/out footprints
4.25	DHS w/out footprints
4.061111111111111	DHS w/out footprints
4.25	DHS w/out footprints
4.841059602649007	DHS w/out footprints
4.25	DHS w/out footprints
3.8072916666666665	DHS w/out footprints
4.016483516483516	DHS w/out footprints
4.809210526315789	DHS w/out footprints
4.177142857142857	DHS w/out footprints
4.9391891891891895	DHS w/out footprints
4.4573170731707314	DHS w/out footprints
5.147887323943662	DHS w/out footprints
3.7875647668393784	DHS w/out footprints
5.2214285714285715	DHS w/out footprints
4.430303030303031	DHS w/out footprints
4.377245508982036	DHS w/out footprints
4.2748538011695905	DHS w/out footprints
4.325443786982248	DHS w/out footprints
4.656050955414012	DHS w/out footprints
3.9945355191256833	DHS w/out footprints
4.403614457831325	DHS w/out footprints
4.22543352601156	DHS w/out footprints
4.841059602649007	DHS w/out footprints
4.685897435897436	DHS w/out footprints
5.184397163120567	DHS w/out footprints
4.106741573033708	DHS w/out footprints
4.716129032258064	DHS w/out footprints
4.4573170731707314	DHS w/out footprints
3.9513513513513514	DHS w/out footprints
3.7487179487179487	DHS w/out footprints
4.351190476190476	DHS w/out footprints
4.177142857142857	DHS w/out footprints
4.685897435897436	DHS w/out footprints
3.8882978723404253	DHS w/out footprints
4.129943502824859	DHS w/out footprints
4.25	DHS w/out footprints
4.2011494252873565	DHS w/out footprints
4.9391891891891895	DHS w/out footprints
4.484662576687117	DHS w/out footprints
4.403614457831325	DHS w/out footprints
4.351190476190476	DHS w/out footprints
4.873333333333333	DHS w/out footprints
4.3	DHS w/out footprints
4.430303030303031	DHS w/out footprints
4.083798882681564	DHS w/out footprints
4.59748427672956	DHS w/out footprints
4.25	DHS w/out footprints
4.512345679012346	DHS w/out footprints
4.430303030303031	DHS w/out footprints
4.59748427672956	DHS w/out footprints
4.106741573033708	DHS w/out footprints
4.325443786982248	DHS w/out footprints
4.25	DHS w/out footprints
3.8882978723404253	DHS w/out footprints
4.325443786982248	DHS w/out footprints
4.325443786982248	DHS w/out footprints
4.841059602649007	DHS w/out footprints
4.430303030303031	DHS w/out footprints
4.4573170731707314	DHS w/out footprints
4.351190476190476	DHS w/out footprints
4.106741573033708	DHS w/out footprints
4.56875	DHS w/out footprints
4.377245508982036	DHS w/out footprints
4.351190476190476	DHS w/out footprints
4.716129032258064	DHS w/out footprints
4.873333333333333	DHS w/out footprints
4.061111111111111	DHS w/out footprints
4.177142857142857	DHS w/out footprints
4.129943502824859	DHS w/out footprints
4.841059602649007	DHS w/out footprints
4.2011494252873565	DHS w/out footprints
