enrichment_ratio	Category
1.1966226138032305	DHS w/out footprints
1.1970620639001102	DHS w/out footprints
1.1918534498519142	DHS w/out footprints
1.1907214611872146	DHS w/out footprints
1.1982942430703625	DHS w/out footprints
1.189504798744663	DHS w/out footprints
1.2049831799194115	DHS w/out footprints
1.1990876986462624	DHS w/out footprints
1.1940801523921167	DHS w/out footprints
1.1879008746355686	DHS w/out footprints
1.1921149837252678	DHS w/out footprints
1.2019174041297935	DHS w/out footprints
1.1957008180184145	DHS w/out footprints
1.1952623666165523	DHS w/out footprints
1.1964908416841022	DHS w/out footprints
1.1927693208430914	DHS w/out footprints
1.2019617242523692	DHS w/out footprints
1.1964469240933784	DHS w/out footprints
1.2052059454263107	DHS w/out footprints
1.2054733727810651	DHS w/out footprints
1.1941238963988716	DHS w/out footprints
1.2027600457547691	DHS w/out footprints
1.1940801523921167	DHS w/out footprints
1.1966226138032305	DHS w/out footprints
1.196227384491174	DHS w/out footprints
1.1907214611872146	DHS w/out footprints
1.203026388632589	DHS w/out footprints
1.2025381834280233	DHS w/out footprints
1.185395301476471	DHS w/out footprints
1.1847490277323447	DHS w/out footprints
1.190112819014933	DHS w/out footprints
1.1902866532773415	DHS w/out footprints
1.1906779661016949	DHS w/out footprints
1.2028932024503654	DHS w/out footprints
1.1971060266627493	DHS w/out footprints
1.188507255888573	DHS w/out footprints
1.198999485029059	DHS w/out footprints
1.202360752489856	DHS w/out footprints
1.1958762886597938	DHS w/out footprints
1.1898521628034313	DHS w/out footprints
1.198029991179065	DHS w/out footprints
1.1995289615073232	DHS w/out footprints
1.19860268431697	DHS w/out footprints
1.1908954733111687	DHS w/out footprints
1.2134162230577374	DHS w/out footprints
1.189504798744663	DHS w/out footprints
1.1951308938916183	DHS w/out footprints
1.2005893186003682	DHS w/out footprints
1.1801165779660403	DHS w/out footprints
1.2056071309686727	DHS w/out footprints
1.1912001169419675	DHS w/out footprints
1.1946490745831042	DHS w/out footprints
1.196007925442137	DHS w/out footprints
1.1917227259432583	DHS w/out footprints
1.2007662270684447	DHS w/out footprints
1.1999705492563688	DHS w/out footprints
1.1942989044810024	DHS w/out footprints
1.2017844633705712	DHS w/out footprints
1.196007925442137	DHS w/out footprints
1.2040929407853422	DHS w/out footprints
1.1954377085854697	DHS w/out footprints
1.19860268431697	DHS w/out footprints
1.1892010215249909	DHS w/out footprints
1.1969741480611047	DHS w/out footprints
1.2062763674043373	DHS w/out footprints
1.1974138564396444	DHS w/out footprints
1.2048495601389813	DHS w/out footprints
1.1865171811298776	DHS w/out footprints
1.1942551476514984	DHS w/out footprints
1.192551128672301	DHS w/out footprints
1.193730315681535	DHS w/out footprints
1.1990876986462624	DHS w/out footprints
1.2025825493451392	DHS w/out footprints
1.2024494614136048	DHS w/out footprints
1.1958762886597938	DHS w/out footprints
1.2028932024503654	DHS w/out footprints
1.1965786865386734	DHS w/out footprints
1.1848351568463524	DHS w/out footprints
1.1953500311709266	DHS w/out footprints
1.1879874626430498	DHS w/out footprints
1.2077065579844386	DHS w/out footprints
1.19355547418528	DHS w/out footprints
1.2119274241522904	DHS w/out footprints
1.1918098720292505	DHS w/out footprints
1.188984132774029	DHS w/out footprints
1.1948242366482167	DHS w/out footprints
1.2058301272565848	DHS w/out footprints
1.1958762886597938	DHS w/out footprints
1.1990876986462624	DHS w/out footprints
1.1944739638682254	DHS w/out footprints
1.1950432614752897	DHS w/out footprints
1.1948242366482167	DHS w/out footprints
1.201075942370758	DHS w/out footprints
1.2036483143163104	DHS w/out footprints
1.1924202516827627	DHS w/out footprints
1.1926383959606308	DHS w/out footprints
1.1897218775093072	DHS w/out footprints
1.2040929407853422	DHS w/out footprints
1.1860854377410668	DHS w/out footprints
1.200633540830233	DHS w/out footprints
1.193730315681535	DHS w/out footprints
1.2066782660200643	DHS w/out footprints
1.195744680851064	DHS w/out footprints
1.2066782660200643	DHS w/out footprints
1.209319581509238	DHS w/out footprints
1.2014743826022853	DHS w/out footprints
1.1973698710649083	DHS w/out footprints
1.1808433560353573	DHS w/out footprints
1.1954377085854697	DHS w/out footprints
1.1946490745831042	DHS w/out footprints
1.195569248826291	DHS w/out footprints
1.1964469240933784	DHS w/out footprints
1.1995731056563501	DHS w/out footprints
1.19080846089212	DHS w/out footprints
1.198999485029059	DHS w/out footprints
1.18453375972091	DHS w/out footprints
1.198955383087505	DHS w/out footprints
1.205562541608107	DHS w/out footprints
1.1915920307073662	DHS w/out footprints
1.2102625032488026	DHS w/out footprints
1.1983823529411766	DHS w/out footprints
1.192812968858638	DHS w/out footprints
1.1975898302593873	DHS w/out footprints
1.1929875928704754	DHS w/out footprints
1.187122150193022	DHS w/out footprints
1.1931622680185952	DHS w/out footprints
1.2143203069701598	DHS w/out footprints
1.1888973994237153	DHS w/out footprints
1.2044488785426597	DHS w/out footprints
1.204894096773001	DHS w/out footprints
1.1951747149195175	DHS w/out footprints
1.1879441670614819	DHS w/out footprints
1.1949556419092309	DHS w/out footprints
1.1951747149195175	DHS w/out footprints
1.1874248661250957	DHS w/out footprints
1.191287186609166	DHS w/out footprints
1.1939489395992822	DHS w/out footprints
1.193992673992674	DHS w/out footprints
1.2050722762394173	DHS w/out footprints
1.19860268431697	DHS w/out footprints
1.1997497147484266	DHS w/out footprints
1.209948032665182	DHS w/out footprints
1.2154976320990416	DHS w/out footprints
1.2026269185360094	DHS w/out footprints
1.1975458319556191	DHS w/out footprints
1.1922457937088515	DHS w/out footprints
1.1994848206071758	DHS w/out footprints
1.2050722762394173	DHS w/out footprints
1.2048050267972648	DHS w/out footprints
1.1893745895059475	DHS w/out footprints
1.196007925442137	DHS w/out footprints
1.1899390355200234	DHS w/out footprints
1.1863876251137397	DHS w/out footprints
1.1951308938916183	DHS w/out footprints
1.1964030097265552	DHS w/out footprints
1.1934680726420621	DHS w/out footprints
1.1959201643674786	DHS w/out footprints
1.1877277364815624	DHS w/out footprints
1.1985145420450785	DHS w/out footprints
1.1997938751472321	DHS w/out footprints
1.191374269005848	DHS w/out footprints
1.2109369195333977	DHS w/out footprints
1.1954377085854697	DHS w/out footprints
1.1912001169419675	DHS w/out footprints
1.2019174041297935	DHS w/out footprints
1.196051810809819	DHS w/out footprints
1.1927256760218083	DHS w/out footprints
1.1976338317963038	DHS w/out footprints
1.1946052920911823	DHS w/out footprints
1.2076618131969916	DHS w/out footprints
1.200103088987887	DHS w/out footprints
1.2063210095851375	DHS w/out footprints
1.2010316875460574	DHS w/out footprints
1.2017844633705712	DHS w/out footprints
1.2065889320747734	DHS w/out footprints
1.2008547008547008	DHS w/out footprints
1.204715969989282	DHS w/out footprints
1.204894096773001	DHS w/out footprints
