enrichment_ratio	Category
1.3216287647759286	DHS w/out footprints
1.3259418980739532	DHS w/out footprints
1.3321915803032964	DHS w/out footprints
1.3256715026510517	DHS w/out footprints
1.327218106515779	DHS w/out footprints
1.3189472768905248	DHS w/out footprints
1.3240899700293887	DHS w/out footprints
1.3114210784172455	DHS w/out footprints
1.3250924550828456	DHS w/out footprints
1.3266763848396501	DHS w/out footprints
1.3167337017853527	DHS w/out footprints
1.324205563962286	DHS w/out footprints
1.3084044969665602	DHS w/out footprints
1.3204015901111337	DHS w/out footprints
1.3331282592136873	DHS w/out footprints
1.320899854862119	DHS w/out footprints
1.3178395598030699	DHS w/out footprints
1.3168099082675	DHS w/out footprints
1.3177632341017027	DHS w/out footprints
1.3271793974392627	DHS w/out footprints
1.3235892961023852	DHS w/out footprints
1.3293117550829634	DHS w/out footprints
1.3254784305729514	DHS w/out footprints
1.33402714666823	DHS w/out footprints
1.3295447905101385	DHS w/out footprints
1.3188708228270005	DHS w/out footprints
1.3250924550828456	DHS w/out footprints
1.321014892443464	DHS w/out footprints
1.3143756679471996	DHS w/out footprints
1.308592626675102	DHS w/out footprints
1.3190237398185454	DHS w/out footprints
1.3227813144966716	DHS w/out footprints
1.331178329042827	DHS w/out footprints
1.315211422295442	DHS w/out footprints
1.3268311173314673	DHS w/out footprints
1.3255556526551895	DHS w/out footprints
1.3249381278206436	DHS w/out footprints
1.3214368683935416	DHS w/out footprints
1.323743309285548	DHS w/out footprints
1.3178395598030699	DHS w/out footprints
1.3173054654932839	DHS w/out footprints
1.3207848373146025	DHS w/out footprints
1.3254398229057438	DHS w/out footprints
1.3307890273147336	DHS w/out footprints
1.315401514713534	DHS w/out footprints
1.3284967740051967	DHS w/out footprints
1.3306333703725364	DHS w/out footprints
1.3253626143181685	DHS w/out footprints
1.3347706206734717	DHS w/out footprints
1.3261351052048727	DHS w/out footprints
1.3231274715050012	DHS w/out footprints
1.3162766480576205	DHS w/out footprints
1.33071119429173	DHS w/out footprints
1.3222047884704788	DHS w/out footprints
1.3240514432029795	DHS w/out footprints
1.3256328837358347	DHS w/out footprints
1.3182595092557723	DHS w/out footprints
1.3212833914053426	DHS w/out footprints
1.3179158943466172	DHS w/out footprints
1.3250924550828456	DHS w/out footprints
1.3194444444444444	DHS w/out footprints
1.3201334493762693	DHS w/out footprints
1.3137305849067498	DHS w/out footprints
1.3217439293598234	DHS w/out footprints
1.3190619746072236	DHS w/out footprints
1.3070140165441178	DHS w/out footprints
