enrichment_ratio	Category
1.3465626413387608	DHS w/out footprints
1.3537569626008867	DHS w/out footprints
1.3424642092210575	DHS w/out footprints
1.3551433773327264	DHS w/out footprints
1.3571509971509972	DHS w/out footprints
1.3391431462948387	DHS w/out footprints
1.360717550274223	DHS w/out footprints
1.3655544088980622	DHS w/out footprints
1.3546809236719373	DHS w/out footprints
1.3718465614560535	DHS w/out footprints
1.3610285714285715	DHS w/out footprints
1.3414057220094615	DHS w/out footprints
1.3574603898324404	DHS w/out footprints
1.3573056758604969	DHS w/out footprints
1.363521868559652	DHS w/out footprints
1.3367381299809182	DHS w/out footprints
1.3488503794314193	DHS w/out footprints
1.3157662136780466	DHS w/out footprints
1.3593197123616025	DHS w/out footprints
1.3246941045606229	DHS w/out footprints
1.3630536797527755	DHS w/out footprints
1.348086936834956	DHS w/out footprints
1.3664945496270797	DHS w/out footprints
1.3385410812633471	DHS w/out footprints
1.3458017855124873	DHS w/out footprints
1.3427669410305558	DHS w/out footprints
1.35037986166232	DHS w/out footprints
1.3552975987253897	DHS w/out footprints
1.3517593643586834	DHS w/out footprints
1.3669651056014693	DHS w/out footprints
1.3245467689912134	DHS w/out footprints
1.3388420460933108	DHS w/out footprints
1.3500736877905	DHS w/out footprints
1.3359883329593898	DHS w/out footprints
1.3745383194829177	DHS w/out footprints
1.333296014330497	DHS w/out footprints
1.3554518552242203	DHS w/out footprints
1.35037986166232	DHS w/out footprints
1.3295746343641843	DHS w/out footprints
1.3465626413387608	DHS w/out footprints
1.3549891910342473	DHS w/out footprints
1.3573056758604969	DHS w/out footprints
1.3516059471115651	DHS w/out footprints
1.3433728144388042	DHS w/out footprints
1.3540648095508812	DHS w/out footprints
1.3516059471115651	DHS w/out footprints
1.3641466208476518	DHS w/out footprints
1.3591645742981056	DHS w/out footprints
1.3512992170656983	DHS w/out footprints
1.3338933691756272	DHS w/out footprints
1.3542187855355925	DHS w/out footprints
1.3451937196430588	DHS w/out footprints
1.3482395562096683	DHS w/out footprints
1.3724789673850408	DHS w/out footprints
1.339896489648965	DHS w/out footprints
1.3272038337233925	DHS w/out footprints
1.3447380307136405	DHS w/out footprints
1.3382402517136758	DHS w/out footprints
1.3653978445310708	DHS w/out footprints
1.353449255597227	DHS w/out footprints
1.3227812951238476	DHS w/out footprints
1.328240017845193	DHS w/out footprints
