enrichment_ratio	Category
3.109375	DHS w/out footprints
3.316666666666667	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
3.3728813559322033	DHS w/out footprints
2.926470588235294	DHS w/out footprints
3.4310344827586206	DHS w/out footprints
3.2096774193548385	DHS w/out footprints
3.316666666666667	DHS w/out footprints
3.262295081967213	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
3.109375	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
2.5844155844155843	DHS w/out footprints
2.689189189189189	DHS w/out footprints
2.970149253731343	DHS w/out footprints
3.5535714285714284	DHS w/out footprints
4.061224489795919	DHS w/out footprints
3.5535714285714284	DHS w/out footprints
3.3728813559322033	DHS w/out footprints
2.842857142857143	DHS w/out footprints
3.2096774193548385	DHS w/out footprints
2.397590361445783	DHS w/out footprints
3.5535714285714284	DHS w/out footprints
3.109375	DHS w/out footprints
3.5535714285714284	DHS w/out footprints
2.842857142857143	DHS w/out footprints
3.9019607843137254	DHS w/out footprints
3.4310344827586206	DHS w/out footprints
4.145833333333333	DHS w/out footprints
3.0615384615384613	DHS w/out footprints
3.316666666666667	DHS w/out footprints
3.9019607843137254	DHS w/out footprints
3.5535714285714284	DHS w/out footprints
3.3728813559322033	DHS w/out footprints
3.685185185185185	DHS w/out footprints
3.685185185185185	DHS w/out footprints
4.5227272727272725	DHS w/out footprints
3.491228070175439	DHS w/out footprints
4.061224489795919	DHS w/out footprints
2.763888888888889	DHS w/out footprints
4.5227272727272725	DHS w/out footprints
3.491228070175439	DHS w/out footprints
3.1587301587301586	DHS w/out footprints
3.98	DHS w/out footprints
3.3728813559322033	DHS w/out footprints
3.109375	DHS w/out footprints
3.262295081967213	DHS w/out footprints
3.491228070175439	DHS w/out footprints
3.5535714285714284	DHS w/out footprints
3.4310344827586206	DHS w/out footprints
3.4310344827586206	DHS w/out footprints
3.316666666666667	DHS w/out footprints
3.826923076923077	DHS w/out footprints
3.2096774193548385	DHS w/out footprints
3.98	DHS w/out footprints
3.618181818181818	DHS w/out footprints
3.9019607843137254	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
3.316666666666667	DHS w/out footprints
3.685185185185185	DHS w/out footprints
3.826923076923077	DHS w/out footprints
3.262295081967213	DHS w/out footprints
3.3728813559322033	DHS w/out footprints
3.4310344827586206	DHS w/out footprints
4.326086956521739	DHS w/out footprints
3.3728813559322033	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
3.109375	DHS w/out footprints
3.98	DHS w/out footprints
3.826923076923077	DHS w/out footprints
2.8028169014084505	DHS w/out footprints
3.316666666666667	DHS w/out footprints
3.1587301587301586	DHS w/out footprints
3.4310344827586206	DHS w/out footprints
2.6533333333333333	DHS w/out footprints
3.98	DHS w/out footprints
2.5844155844155843	DHS w/out footprints
2.689189189189189	DHS w/out footprints
3.98	DHS w/out footprints
3.2096774193548385	DHS w/out footprints
2.8840579710144927	DHS w/out footprints
3.491228070175439	DHS w/out footprints
3.2096774193548385	DHS w/out footprints
3.491228070175439	DHS w/out footprints
3.316666666666667	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
3.3728813559322033	DHS w/out footprints
3.0615384615384613	DHS w/out footprints
3.3728813559322033	DHS w/out footprints
3.618181818181818	DHS w/out footprints
3.109375	DHS w/out footprints
3.316666666666667	DHS w/out footprints
3.491228070175439	DHS w/out footprints
4.061224489795919	DHS w/out footprints
3.4310344827586206	DHS w/out footprints
3.109375	DHS w/out footprints
3.2096774193548385	DHS w/out footprints
3.1587301587301586	DHS w/out footprints
2.426829268292683	DHS w/out footprints
3.9019607843137254	DHS w/out footprints
2.551282051282051	DHS w/out footprints
3.316666666666667	DHS w/out footprints
3.015151515151515	DHS w/out footprints
3.1587301587301586	DHS w/out footprints
4.23404255319149	DHS w/out footprints
3.1587301587301586	DHS w/out footprints
2.6533333333333333	DHS w/out footprints
3.98	DHS w/out footprints
3.491228070175439	DHS w/out footprints
4.5227272727272725	DHS w/out footprints
2.970149253731343	DHS w/out footprints
3.618181818181818	DHS w/out footprints
3.4310344827586206	DHS w/out footprints
2.8840579710144927	DHS w/out footprints
3.3728813559322033	DHS w/out footprints
2.8028169014084505	DHS w/out footprints
3.685185185185185	DHS w/out footprints
3.826923076923077	DHS w/out footprints
3.262295081967213	DHS w/out footprints
3.491228070175439	DHS w/out footprints
3.685185185185185	DHS w/out footprints
3.4310344827586206	DHS w/out footprints
3.618181818181818	DHS w/out footprints
3.4310344827586206	DHS w/out footprints
3.826923076923077	DHS w/out footprints
3.98	DHS w/out footprints
2.842857142857143	DHS w/out footprints
3.316666666666667	DHS w/out footprints
3.491228070175439	DHS w/out footprints
4.23404255319149	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
3.316666666666667	DHS w/out footprints
2.8840579710144927	DHS w/out footprints
2.926470588235294	DHS w/out footprints
2.6533333333333333	DHS w/out footprints
2.8840579710144927	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
2.518987341772152	DHS w/out footprints
2.926470588235294	DHS w/out footprints
3.2096774193548385	DHS w/out footprints
3.491228070175439	DHS w/out footprints
3.826923076923077	DHS w/out footprints
3.685185185185185	DHS w/out footprints
2.842857142857143	DHS w/out footprints
4.061224489795919	DHS w/out footprints
3.5535714285714284	DHS w/out footprints
3.2096774193548385	DHS w/out footprints
3.015151515151515	DHS w/out footprints
4.853658536585366	DHS w/out footprints
3.491228070175439	DHS w/out footprints
3.9019607843137254	DHS w/out footprints
3.262295081967213	DHS w/out footprints
3.5535714285714284	DHS w/out footprints
3.826923076923077	DHS w/out footprints
3.262295081967213	DHS w/out footprints
3.618181818181818	DHS w/out footprints
3.2096774193548385	DHS w/out footprints
3.262295081967213	DHS w/out footprints
3.316666666666667	DHS w/out footprints
2.763888888888889	DHS w/out footprints
2.970149253731343	DHS w/out footprints
3.262295081967213	DHS w/out footprints
3.685185185185185	DHS w/out footprints
3.2096774193548385	DHS w/out footprints
3.262295081967213	DHS w/out footprints
3.491228070175439	DHS w/out footprints
3.0615384615384613	DHS w/out footprints
3.491228070175439	DHS w/out footprints
3.826923076923077	DHS w/out footprints
3.0615384615384613	DHS w/out footprints
3.618181818181818	DHS w/out footprints
2.842857142857143	DHS w/out footprints
3.3728813559322033	DHS w/out footprints
3.262295081967213	DHS w/out footprints
3.109375	DHS w/out footprints
3.685185185185185	DHS w/out footprints
3.109375	DHS w/out footprints
2.970149253731343	DHS w/out footprints
3.618181818181818	DHS w/out footprints
3.618181818181818	DHS w/out footprints
4.853658536585366	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
3.262295081967213	DHS w/out footprints
2.926470588235294	DHS w/out footprints
3.5535714285714284	DHS w/out footprints
3.826923076923077	DHS w/out footprints
3.491228070175439	DHS w/out footprints
3.3728813559322033	DHS w/out footprints
3.98	DHS w/out footprints
3.262295081967213	DHS w/out footprints
2.763888888888889	DHS w/out footprints
2.926470588235294	DHS w/out footprints
3.491228070175439	DHS w/out footprints
3.826923076923077	DHS w/out footprints
4.061224489795919	DHS w/out footprints
3.685185185185185	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
3.9019607843137254	DHS w/out footprints
3.0615384615384613	DHS w/out footprints
3.5535714285714284	DHS w/out footprints
3.491228070175439	DHS w/out footprints
3.5535714285714284	DHS w/out footprints
2.763888888888889	DHS w/out footprints
3.5535714285714284	DHS w/out footprints
2.7260273972602738	DHS w/out footprints
3.9019607843137254	DHS w/out footprints
3.685185185185185	DHS w/out footprints
3.826923076923077	DHS w/out footprints
4.061224489795919	DHS w/out footprints
3.1587301587301586	DHS w/out footprints
3.0615384615384613	DHS w/out footprints
4.145833333333333	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
3.262295081967213	DHS w/out footprints
3.5535714285714284	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
2.842857142857143	DHS w/out footprints
3.618181818181818	DHS w/out footprints
3.9019607843137254	DHS w/out footprints
2.763888888888889	DHS w/out footprints
3.015151515151515	DHS w/out footprints
4.061224489795919	DHS w/out footprints
2.926470588235294	DHS w/out footprints
3.685185185185185	DHS w/out footprints
3.491228070175439	DHS w/out footprints
3.618181818181818	DHS w/out footprints
3.7547169811320753	DHS w/out footprints
3.618181818181818	DHS w/out footprints
3.826923076923077	DHS w/out footprints
4.061224489795919	DHS w/out footprints
4.5227272727272725	DHS w/out footprints
3.262295081967213	DHS w/out footprints
3.262295081967213	DHS w/out footprints
3.618181818181818	DHS w/out footprints
4.975	DHS w/out footprints
3.618181818181818	DHS w/out footprints
