enrichment_ratio	Category
4.111111111111111	DHS w/out footprints
4.036363636363636	DHS w/out footprints
4.352941176470588	DHS w/out footprints
3.5238095238095237	DHS w/out footprints
4.723404255319149	DHS w/out footprints
4.44	DHS w/out footprints
3.9642857142857144	DHS w/out footprints
3.5806451612903225	DHS w/out footprints
5.285714285714286	DHS w/out footprints
4.826086956521739	DHS w/out footprints
5.55	DHS w/out footprints
4.111111111111111	DHS w/out footprints
3.8947368421052633	DHS w/out footprints
4.269230769230769	DHS w/out footprints
4.188679245283019	DHS w/out footprints
5.045454545454546	DHS w/out footprints
5.045454545454546	DHS w/out footprints
4.44	DHS w/out footprints
4.352941176470588	DHS w/out footprints
3.9642857142857144	DHS w/out footprints
4.933333333333334	DHS w/out footprints
5.045454545454546	DHS w/out footprints
4.036363636363636	DHS w/out footprints
5.414634146341464	DHS w/out footprints
4.826086956521739	DHS w/out footprints
4.933333333333334	DHS w/out footprints
4.723404255319149	DHS w/out footprints
4.826086956521739	DHS w/out footprints
4.036363636363636	DHS w/out footprints
3.5806451612903225	DHS w/out footprints
4.111111111111111	DHS w/out footprints
3.9642857142857144	DHS w/out footprints
4.352941176470588	DHS w/out footprints
3.7	DHS w/out footprints
4.933333333333334	DHS w/out footprints
4.188679245283019	DHS w/out footprints
4.188679245283019	DHS w/out footprints
5.285714285714286	DHS w/out footprints
4.530612244897959	DHS w/out footprints
4.036363636363636	DHS w/out footprints
4.188679245283019	DHS w/out footprints
5.285714285714286	DHS w/out footprints
3.76271186440678	DHS w/out footprints
4.530612244897959	DHS w/out footprints
5.045454545454546	DHS w/out footprints
4.826086956521739	DHS w/out footprints
4.269230769230769	DHS w/out footprints
4.723404255319149	DHS w/out footprints
4.036363636363636	DHS w/out footprints
3.9642857142857144	DHS w/out footprints
4.036363636363636	DHS w/out footprints
4.269230769230769	DHS w/out footprints
4.188679245283019	DHS w/out footprints
5.842105263157895	DHS w/out footprints
4.625	DHS w/out footprints
3.9642857142857144	DHS w/out footprints
4.269230769230769	DHS w/out footprints
4.625	DHS w/out footprints
3.3636363636363638	DHS w/out footprints
4.723404255319149	DHS w/out footprints
5.6923076923076925	DHS w/out footprints
4.625	DHS w/out footprints
